summary_date,score,score_stay_active,score_move_every_hour,score_meet_daily_targets,score_training_frequency,score_training_volume,score_recovery_time,cal_active,cal_total,daily_movement,inactivity_alerts,steps,non_wear,rest,inactive,low,medium,high,average_met,met_min_inactive,met_min_low,met_min_medium,met_min_high,target_calories,target_km,target_miles,to_target_km,to_target_miles,day_start,day_end,class_5min,weight
11/8/23,86,96,100,60,71,96,100,508,2193,11466,0,8989,75,445,343,488,87,2,1.65625,10,262,256,14,350,9,5.592339,-3.9,-2.4233469,2023-11-08T04:00:00-08:00,2023-11-09T03:59:59-08:00,112222222221111111111111111121211122223333232333220000000023333233333332333322222223333333323333333333333333334333333333333433334333332232333333333333444444444444433333333333233333343233223323223400000232222222221111111121111111211221222212112212211212122112211212222211212211112211111111,500
11/9/23,87,81,100,78,71,96,97,307,1972,6560,0,8032,132,398,503,380,26,1,1.5,14,215,92,6,200,6,3.728226,-2.6,-1.6155646,2023-11-09T04:00:00-08:00,2023-11-10T03:59:59-08:00,222211212222000423222232333333333333332233322234222222223322233332233333333333333333333333333332322333223333222222222222233332343222222332233233332222232222322222222340000000000000000000000022223333422222111111211122121111121111211122122111111111211111112221111221111111111111111111112111,
11/10/23,94,73,100,95,96,96,100,361,2057,7939,0,8905,88,317,575,412,48,0,1.5625,14,221,150,0,250,6,3.728226,-2.7,-1.6777017,2023-11-10T04:00:00-08:00,2023-11-11T03:59:59-08:00,111122222033323332333222332233222222223332333223332222222322222222332233333233333232233333333222233344232322222332222332233333333333333334223343332332222233344333333000423422233222222332333422223222222334323322211111111111111111112211111221111111111121111111111111111111211112000000000000,
11/11/23,98,100,100,95,96,96,100,170,1733,3954,0,4530,635,337,308,134,25,1,1.3125,9,85,81,6,350,9,5.592339,4.6,2.8583066,2023-11-11T04:00:00-08:00,2023-11-12T03:59:59-08:00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003333343344433343223232333223222232322232343333232222243222222322223322000002222222111111111111111112112211122121111112112221112211112111112211112121111221111111111111,
11/12/23,92,100,100,78,96,90,100,34,1520,794,0,925,651,521,226,39,3,0,1.15625,1,25,10,0,350,9,5.592339,8.1,5.0331051,2023-11-12T04:00:00-08:00,2023-11-13T03:59:59-08:00,111111111111111111111112111122211123222211111111111111211111111111122233333222222000000023330000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022233222221111111122112111121122212212222122222111111212221221221111221221,
11/13/23,92,82,100,95,96,73,100,294,1988,5571,0,8325,193,321,404,507,15,0,1.5,12,251,50,0,200,6,3.728226,-2.2,-1.3670162,2023-11-13T04:00:00-08:00,2023-11-14T03:59:59-08:00,112221121112211111222222111122222222233333333233223322220333333323342223333333233223333222222233333333333222224322222333333333333333333333333333333333333333333323332222322222233333333333333332223322232003000002223322221111111111111122111111111211212222211111120000000000000000000000000000,
11/14/23,84,93,100,78,71,59,100,245,1912,4936,0,6673,362,252,421,386,19,0,1.46875,13,188,59,0,350,9,5.592339,2.7,1.6777017,2023-11-14T04:00:00-08:00,2023-11-15T03:59:59-08:00,000000000000000000000000000000000000000000000000000000000000000000000333222222223333322222222223322233333333233333333232223333234222322333332233333233333322333222333222332333333333333323333333223323333333333322220002222232222221111111211111111222221111121211111222212111112111111112111111,
11/15/23,80,90,100,78,40,54,100,269,1936,5307,0,7376,264,297,455,403,19,2,1.46875,13,201,59,14,200,6,3.728226,-1.6,-0.9941936,2023-11-15T04:00:00-08:00,2023-11-16T03:59:59-08:00,112111111111111111221211222222320000323332222222232232222223333323333333233333222233333333322333333333333233323323333232222223432233322223222222223232424233333332333333233323333333332000000000000000000000000000000000000000000000003232222221111211311111111111211111221222221222222222221111,498
11/16/23,86,94,100,78,71,67,100,389,2067,7719,0,9735,44,486,369,491,48,2,1.5625,17,245,140,13,200,6,3.728226,-4.6,-2.8583066,2023-11-16T04:00:00-08:00,2023-11-17T03:59:59-08:00,111112222222111111211111111221122111122332220000033333233432332333332333332233233333333333333333333333223433333333333233322223333333333334342333333333333333323233323332233334323523222223443322222322334343211111200042222222111111111111111122111221112111111221222221111111111111111111111221,
11/17/23,78,88,100,60,40,69,100,297,1972,6104,0,7884,250,300,453,414,22,1,1.5,15,223,72,7,350,9,5.592339,1.4,0.8699194,2023-11-17T04:00:00-08:00,2023-11-18T03:59:59-08:00,111111111112221112000000000000000000000000000000000000000000003422323222322233222233333223322333333333333332243333333333333333233333333333333333332223333333322222222222333333333222323232232323233222233342233332342233000002223322222211222121122221111111121111122111111111121211111111111111,
